,No.overall,No. inseason,Directed by,viewers(millions),story_writer,teleplay_writer,season,Penny,Howard,Sheldon,Leonard,Raj,Bernadette,Amy,Ave_length,imdb_rating_count,imdb_rating
0,1,1,James Burrows,9.52,collaboration,collaboration,1,61.0,18.0,104.0,125.0,3.0,0.0,0.0,10.049853372434018,5553,8.3
1,2,2,Mark Cendrowski,8.58, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,1,48.0,20.0,71.0,86.0,11.0,0.0,0.0,12.942084942084943,4428,8.3
2,3,3,Mark Cendrowski,8.36, Chuck Lorre, Chuck Lorre,1,39.0,25.0,49.0,106.0,10.0,0.0,0.0,12.354716981132075,3920,7.8
3,4,4,Mark Cendrowski,8.15, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,1,31.0,6.0,87.0,47.0,2.0,0.0,0.0,12.959514170040485,3971,8.2
4,5,5,Andrew D. Weyman,8.81, Jennifer Glickman, Jennifer Glickman,1,38.0,11.0,57.0,70.0,6.0,0.0,0.0,12.096234309623432,3756,8.0
5,6,6,Mark Cendrowski,8.92, Dave Goetsch, Dave Goetsch,1,47.0,22.0,67.0,77.0,10.0,0.0,0.0,11.348484848484848,3924,8.5
6,7,7,Mark Cendrowski,9.68, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,1,59.0,40.0,77.0,69.0,16.0,0.0,0.0,11.682432432432432,3685,8.2
7,8,8,Ted Wass,9.32, Dave Goetsch & Steven Molaro, Dave Goetsch & Steven Molaro,1,28.0,22.0,52.0,41.0,65.0,0.0,0.0,12.003649635036496,3713,8.3
8,9,9,Joel Murray,9.11, Bill Prady & Stephen Engel, Bill Prady & Stephen Engel,1,59.0,18.0,61.0,75.0,5.0,0.0,0.0,12.96234309623431,3580,8.1
9,10,10,Mark Cendrowski,8.63, Chuck Lorre, Chuck Lorre,1,36.0,11.0,77.0,81.0,4.0,0.0,0.0,13.3625,3662,8.1
10,11,11,Mark Cendrowski,8.68, Chuck Lorre & Lee Aronsohn, Chuck Lorre & Lee Aronsohn,1,47.0,43.0,73.0,74.0,9.0,0.0,0.0,11.049242424242424,3652,8.3
11,12,12,Mark Cendrowski,7.69, Jennifer Glickman & Stephen Engel, Jennifer Glickman & Stephen Engel,1,8.0,39.0,65.0,55.0,23.0,0.0,0.0,13.398373983739837,3467,8.0
12,13,13,Mark Cendrowski,7.51, Stephen Engel & Jennifer Glickman, Stephen Engel & Jennifer Glickman,1,28.0,34.0,67.0,69.0,17.0,0.0,0.0,11.553956834532373,3563,8.4
